trip_distance,fare_amount,passenger_count,total_amount
7.29,-30.3,2.0,-36.05
7.29,30.3,2.0,36.05
1.21,9.3,2.0,15.05
4.1,18.4,1.0,28.15
10.25,38.7,1.0,69.42
6.92,-31.0,1.0,-35.25
6.92,31.0,1.0,35.25
3.17,17.0,1.0,27.3
1.53,10.7,1.0,19.74
1.02,7.9,3.0,16.38
25.77,42.0,1.0,46.25
2.89,14.2,1.0,21.95
2.45,14.2,1.0,19.95
1.85,11.4,1.0,24.43
1.8,10.7,1.0,17.95
1.35,9.3,1.0,15.05
9.2,35.2,1.0,57.25
10.95,45.0,1.0,63.69
9.5,37.3,1.0,64.19
3.8,19.8,1.0,25.55
2.22,11.4,3.0,20.58
9.87,41.5,1.0,58.12
4.21,19.8,1.0,30.66
1.62,10.7,1.0,19.74
6.07,26.1,1.0,31.85
2.61,14.2,1.0,23.94
1.56,12.1,1.0,21.42
1.53,8.6,1.0,14.35
1.37,10.0,1.0,18.9
1.54,10.0,1.0,18.9
0.84,7.9,1.0,15.15
0.7,6.5,1.0,12.25
3.47,19.8,1.0,30.66
1.03,7.9,1.0,13.52
4.33,23.3,1.0,34.86
2.36,12.8,5.0,22.26
2.35,12.1,5.0,21.42
1.35,8.6,1.0,16.32
2.0,12.8,2.0,20.55
1.87,12.8,1.0,21.33
0.5,5.8,1.0,11.55
2.6,14.2,3.0,23.9
1.1,7.9,1.0,13.65
1.2,8.6,0.0,17.2
2.4,14.9,1.0,26.8
2.9,16.3,1.0,26.46
9.73,38.0,1.0,53.25
2.12,12.1,1.0,18.85
4.41,21.2,1.0,29.95
3.4,16.3,1.0,22.05
13.88,53.4,2.0,68.83
18.24,70.0,1.0,88.21
2.28,14.2,1.0,23.94
2.44,14.2,1.0,22.94
1.1,7.2,1.0,14.2
21.43,70.0,1.0,90.19
1.03,7.2,1.0,12.95
0.0,7.2,1.0,15.95
2.46,11.4,1.0,18.87
0.98,7.9,1.0,16.38
0.62,5.1,2.0,13.02
1.28,10.7,1.0,18.45
0.0,100.0,1.0,130.31
18.0,70.0,1.0,100.14
3.6,17.0,1.0,22.75
4.85,22.6,1.0,34.02
0.8,5.8,1.0,13.85
1.6,9.3,1.0,18.05
1.6,10.0,1.0,18.9
1.26,9.3,3.0,15.05
3.63,20.5,2.0,31.5
0.49,5.8,1.0,11.55
3.34,16.3,1.0,26.46
1.68,11.4,1.0,19.15
2.95,19.8,1.0,30.66
1.1,8.6,4.0,17.95
2.6,14.9,2.0,23.85
6.8,31.7,1.0,37.45
1.3,9.3,1.0,18.05
8.5,34.5,1.0,54.7
0.6,7.2,1.0,16.2
3.2,19.8,1.0,30.66
1.33,9.3,1.0,17.05
2.39,12.8,2.0,23.19
0.81,7.9,1.0,16.38
1.46,10.7,1.0,19.74
2.88,17.7,1.0,23.45
7.33,30.3,1.0,36.05
1.26,10.7,1.0,18.45
1.46,11.4,1.0,20.15
2.5,12.8,1.0,21.55
0.77,5.8,2.0,13.28
1.42,10.7,1.0,19.74
1.4,8.6,1.0,17.2
1.45,8.6,1.0,14.35
1.16,6.5,1.0,13.47
1.79,10.0,1.0,16.75
12.41,52.7,1.0,58.45
0.7,5.8,1.0,13.86
4.07,18.4,1.0,28.98
2.56,14.9,1.0,24.78
6.26,31.7,1.0,37.45
5.7,24.0,1.0,35.7
18.29,70.0,3.0,88.44
7.97,36.6,2.0,39.1
0.8,7.2,1.0,14.15
2.0,12.8,1.0,23.2
1.0,7.2,1.0,16.2
4.9,23.3,1.0,34.86
3.63,18.4,1.0,26.65
1.84,10.0,1.0,16.75
2.0,13.5,1.0,19.25
0.0,33.5,1.0,35.0
1.16,8.6,1.0,17.94
2.16,11.4,1.0,20.0
9.3,80.0,1.0,98.1
2.8,15.6,1.0,21.72
4.1,21.9,1.0,31.65
0.65,6.5,1.0,13.25
3.73,19.8,1.0,28.55
2.08,12.1,1.0,20.52
1.0,8.6,1.0,14.35
3.7,20.5,2.0,31.5
0.59,7.2,1.0,14.2
0.5,5.8,1.0,13.86
2.31,13.5,1.0,22.25
3.64,17.0,1.0,26.25
15.02,61.8,1.0,78.91
6.6,26.1,1.0,30.35
2.41,14.2,1.0,23.94
1.05,7.2,1.0,11.64
3.69,18.4,1.0,28.98
1.0,6.5,2.0,14.7
5.81,27.5,1.0,39.9
2.03,11.4,1.0,20.58
1.4,8.6,1.0,17.2
2.1,10.0,1.0,19.7
5.93,28.9,1.0,41.58
2.43,13.5,1.0,23.1
21.68,106.6,1.0,135.07
2.6,17.0,1.0,22.75
1.8,10.0,1.0,18.75
1.0,7.2,1.0,14.95
2.9,13.5,1.0,23.1
0.25,3.7,1.0,9.45
2.47,14.2,1.0,21.95
3.56,15.6,1.0,21.37
1.23,9.3,1.0,18.06
1.67,10.0,1.0,15.75
3.1,15.6,1.0,25.62
3.26,17.0,1.0,25.75
1.47,10.0,1.0,18.9
1.14,9.3,1.0,18.06
2.06,12.1,1.0,21.85
1.72,10.7,2.0,18.45
0.44,5.1,1.0,13.02
3.97,19.1,1.0,29.82
0.39,-5.8,1.0,-8.3
0.39,5.8,1.0,8.3
0.82,7.2,1.0,15.54
1.34,10.0,1.0,18.9
1.82,12.1,1.0,20.35
1.9,10.0,3.0,18.9
3.39,18.4,2.0,28.98
3.0,15.6,1.0,25.62
1.7,8.6,1.0,17.22
0.7,5.8,1.0,21.55
2.4,12.8,1.0,22.25
1.3,10.0,1.0,18.9
0.5,5.8,1.0,11.55
4.45,22.6,1.0,34.02
2.8,19.8,1.0,30.66
1.34,9.3,1.0,18.06
2.05,13.5,1.0,21.25
2.89,15.6,1.0,25.62
3.5,17.0,1.0,27.3
9.1,39.4,1.0,56.45
1.22,10.0,3.0,18.9
10.14,52.0,1.0,73.15
9.8,40.8,1.0,72.29
4.17,22.6,5.0,34.02
1.4,12.8,1.0,22.25
1.7,11.4,1.0,21.4
3.67,18.4,1.0,28.98
1.6,9.3,2.0,15.05
0.6,5.8,3.0,11.55
1.13,11.4,1.0,17.15
1.05,7.9,1.0,13.65
6.45,32.4,1.0,45.78
1.5,8.6,1.0,16.35
5.5,28.2,1.0,40.7
0.85,7.2,1.0,13.2
1.75,10.0,1.0,18.9
0.87,7.2,1.0,15.54
1.66,10.0,1.0,18.9
1.93,12.1,1.0,21.42
2.28,14.2,1.0,23.94
4.0,21.2,1.0,30.95
4.49,18.4,1.0,28.98
1.88,12.8,4.0,22.25
2.11,12.8,5.0,22.26
1.13,7.2,5.0,12.95
3.7,19.8,5.0,30.66
1.1,7.9,1.0,14.65
0.84,-6.5,1.0,-12.25
0.84,6.5,1.0,12.25
1.13,8.6,1.0,16.32
2.36,15.6,1.0,26.69
3.12,15.6,2.0,25.62
2.27,13.5,1.0,21.25
0.77,6.5,1.0,14.7
9.56,38.0,2.0,54.69
1.49,9.3,2.0,17.05
2.4,14.9,1.0,23.75
3.53,17.7,1.0,25.79
0.64,5.8,1.0,14.55
1.96,-12.8,1.0,-18.55
1.96,12.8,1.0,18.55
0.7,6.5,1.0,12.25
1.61,10.0,2.0,15.0
0.96,6.5,2.0,13.8
1.8,10.7,1.0,19.74
1.45,10.0,1.0,18.9
5.14,26.8,1.0,40.55
1.24,10.0,1.0,18.9
3.32,15.6,1.0,24.55
3.19,15.6,1.0,23.35
19.09,73.0,6.0,77.25
5.58,24.0,1.0,35.7
0.92,7.2,1.0,15.54
4.24,17.7,1.0,23.45
9.2,35.2,1.0,65.54
2.0,13.5,1.0,22.2
1.15,7.9,1.0,15.65
0.82,6.5,1.0,10.8
0.99,6.5,1.0,12.25
0.02,-70.0,1.0,-74.75
0.02,70.0,1.0,74.75
3.45,14.9,1.0,23.65
1.35,8.6,1.0,17.22
3.01,18.4,1.0,28.98
1.49,10.0,2.0,18.9
1.65,10.0,1.0,18.9
21.57,70.0,2.0,76.5
0.49,5.1,1.0,15.85
1.0,7.9,1.0,16.4
2.34,11.4,1.0,20.58
0.98,5.8,2.0,13.86
2.11,10.7,2.0,20.56
3.46,15.6,1.0,25.62
10.02,43.6,1.0,59.22
5.91,26.8,1.0,39.06
4.4,19.1,1.0,29.8
10.14,40.8,1.0,71.39
3.4,17.7,1.0,28.15
0.9,7.2,1.0,14.95
1.91,9.3,1.0,16.44
1.6,9.3,1.0,18.8
1.0,7.9,1.0,17.05
18.84,105.2,1.0,128.76
0.99,7.2,1.0,12.95
0.0,90.0,1.0,91.75
0.58,7.9,2.0,13.65
1.51,8.6,2.0,17.22
2.42,13.5,1.0,22.25
1.21,9.3,1.0,18.06
0.64,6.5,1.0,14.7
4.91,21.2,1.0,32.34
0.8,7.2,1.0,15.55
2.23,13.5,1.0,21.25
2.43,13.5,1.0,23.1
1.93,10.7,1.0,19.74
4.1,20.5,1.0,32.8
1.0,7.9,1.0,13.65
3.13,-17.0,2.0,-22.75
3.13,17.0,2.0,22.75
0.0,28.5,2.0,32.0
1.35,8.6,2.0,17.22
2.61,14.9,1.0,25.19
3.49,20.5,2.0,26.25
5.65,24.7,1.0,36.54
1.95,11.4,1.0,19.68
0.41,4.4,1.0,11.15
3.38,19.1,1.0,24.85
2.36,14.9,1.0,24.78
0.45,4.4,1.0,12.18
8.83,39.4,1.0,54.18
2.29,14.9,1.0,24.78
3.0,25.4,1.0,31.15
1.41,9.3,1.0,17.16
2.43,11.4,1.0,21.44
1.45,8.6,1.0,17.22
3.42,21.2,1.0,29.95
0.82,6.5,1.0,13.8
1.03,7.2,1.0,13.5
2.38,12.8,1.0,23.0
2.21,14.2,1.0,23.94
3.8,21.9,1.0,38.59
6.18,28.2,1.0,44.14
0.74,7.2,2.0,14.95
4.47,21.2,3.0,32.34
9.6,42.9,1.0,58.35
0.41,4.4,1.0,12.15
2.29,14.2,2.0,23.94
0.9,6.5,2.0,13.25
6.1,29.6,1.0,40.35
4.01,19.1,1.0,29.82
3.52,17.7,1.0,27.24
2.11,10.7,1.0,19.74
4.51,21.9,1.0,29.28
8.6,33.8,2.0,63.54
2.21,13.5,1.0,23.1
3.18,17.0,2.0,28.44
2.75,14.2,1.0,23.94
2.51,16.3,1.0,26.46
2.73,13.5,1.0,23.1
